Cycle;Classe;Matière;Chapitre;Sous-chapitre (Titre);Type;Nombre de questions;Lien (href)
Primaire;CM2;FRANÇAIS;Lecture et compréhension de l’écrit;Identifier le type de texte (narratif, descriptif, injonctif, etc.);Cours;;/cours/identifier-le-type-de-texte-narratif-descriptif-injonctif-etc-77x9?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cfrancais%2Clecture-et-comprehension-de-l-ecrit
Primaire;CM2;FRANÇAIS;Lecture et compréhension de l’écrit;Repérer les informations importantes dans un texte, repérer les mots-clés;Cours;;/cours/reperer-les-informations-importantes-dans-un-texte-reperer-les-mots-cles-58og?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cfrancais%2Clecture-et-comprehension-de-l-ecrit
Primaire;CM2;FRANÇAIS;Lecture et compréhension de l’écrit;Comprendre l’ordre des actions ou événements;Cours;;/cours/comprendre-l-ordre-des-actions-ou-evenements-2ftu?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cfrancais%2Clecture-et-comprehension-de-l-ecrit
Primaire;CM2;FRANÇAIS;Lecture et compréhension de l’écrit;Repérer les connecteurs logiques et temporels;Cours;;/cours/reperer-les-connecteurs-logiques-et-temporels-p1kq?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cfrancais%2Clecture-et-comprehension-de-l-ecrit
Primaire;CM2;FRANÇAIS;Lecture et compréhension de l’écrit;Comprendre le sens d’un mot inconnu grâce au contexte;Cours;;/cours/comprendre-le-sens-d-un-mot-inconnu-grace-au-contexte-dud7?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cfrancais%2Clecture-et-comprehension-de-l-ecrit
Primaire;CM2;FRANÇAIS;Lecture et compréhension de l’écrit;Résumer un texte ou un paragraphe court;Cours;;/cours/resumer-un-texte-ou-un-paragraphe-court-y2at?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cfrancais%2Clecture-et-comprehension-de-l-ecrit
Primaire;CM2;FRANÇAIS;Lecture et compréhension de l’écrit;Repérer les éléments descriptifs d’un texte;Cours;;/cours/reperer-les-elements-descriptifs-d-un-texte-jh6z?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cfrancais%2Clecture-et-comprehension-de-l-ecrit
Primaire;CM2;FRANÇAIS;Lecture et compréhension de l’écrit;Comprendre un texte narratif;Quiz;5;/test/comprendre-un-texte-narratif?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cfrancais%2Clecture-et-comprehension-de-l-ecrit
Primaire;CM2;FRANÇAIS;Lecture et compréhension de l’écrit;Étudier un texte documentaire;Quiz;5;/test/etudier-un-texte-documentaire?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cfrancais%2Clecture-et-comprehension-de-l-ecrit
Primaire;CM2;FRANÇAIS;Lecture et compréhension de l’écrit;Comprendre l'ordre des actions dans un texte;Quiz;5;/test/comprendre-l-ordre-des-actions-dans-un-texte?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cfrancais%2Clecture-et-comprehension-de-l-ecrit
Primaire;CM2;FRANÇAIS;Lecture et compréhension de l’écrit;Les mots de liaison;Quiz;5;/test/les-mots-de-liaison?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cfrancais%2Clecture-et-comprehension-de-l-ecrit
Primaire;CM2;FRANÇAIS;Lecture et compréhension de l’écrit;Le sens propre et le sens figuré;Quiz;5;/test/le-sens-propre-et-le-sens-figure?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cfrancais%2Clecture-et-comprehension-de-l-ecrit
Primaire;CM2;FRANÇAIS;Lecture et compréhension de l’écrit;Résumer un paragraphe;Quiz;5;/test/resumer-un-paragraphe?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cfrancais%2Clecture-et-comprehension-de-l-ecrit
Primaire;CM2;FRANÇAIS;Lecture et compréhension de l’écrit;La description;Quiz;5;/test/la-description?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cfrancais%2Clecture-et-comprehension-de-l-ecrit
Primaire;CM2;FRANÇAIS;Grammaire;Distinguer les types de phrases (déclarative, interrogative, exclamative, injonctive);Cours;;/cours/distinguer-les-types-de-phrases-declarative-interrogative-exclamative-injonctive-3qol?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cfrancais%2Cgrammaire
Primaire;CM2;FRANÇAIS;Grammaire;Distinguer une phrase simple d’une phrase complexe;Cours;;/cours/distinguer-une-phrase-simple-d-une-phrase-complexe-ckjo?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cfrancais%2Cgrammaire
Primaire;CM2;FRANÇAIS;Grammaire;Identifier le verbe, le nom et les prépositions;Cours;;/cours/identifier-le-verbe-le-nom-et-les-prepositions-qkek?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cfrancais%2Cgrammaire
Primaire;CM2;FRANÇAIS;Grammaire;Identifier le COD et le COI;Cours;;/cours/identifier-le-cod-et-le-coi-4p7v?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cfrancais%2Cgrammaire
Primaire;CM2;FRANÇAIS;Grammaire;Distinguer les compléments circonstanciels;Cours;;/cours/distinguer-les-complements-circonstanciels-cpyy?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cfrancais%2Cgrammaire
Primaire;CM2;FRANÇAIS;Grammaire;Identifier le sujet dans une phrase simple ou complexe (y compris inversé);Cours;;/cours/identifier-le-sujet-dans-une-phrase-simple-ou-complexe-y-compris-inverse-98wa?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cfrancais%2Cgrammaire
Primaire;CM2;FRANÇAIS;Grammaire;Identifier le complément de nom au sein du groupe nominal;Cours;;/cours/identifier-le-complement-de-nom-au-sein-du-groupe-nominal-608s?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cfrancais%2Cgrammaire
Primaire;CM2;FRANÇAIS;Grammaire;Identifier l’épithète au sein du groupe nominal;Cours;;/cours/identifier-l-epithete-au-sein-du-groupe-nominal-6yef?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cfrancais%2Cgrammaire
Primaire;CM2;FRANÇAIS;Grammaire;Identifier l’attribut du sujet;Cours;;/cours/identifier-l-attribut-du-sujet-lkba?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cfrancais%2Cgrammaire
Primaire;CM2;FRANÇAIS;Grammaire;Les types et les formes de phrases;Quiz;5;/test/les-types-et-les-formes-de-phrases-2?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cfrancais%2Cgrammaire
Primaire;CM2;FRANÇAIS;Grammaire;Phrase simple et phrase complexe;Quiz;5;/test/phrase-simple-et-phrase-complexe-1?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cfrancais%2Cgrammaire
Primaire;CM2;FRANÇAIS;Grammaire;Les catégories de mots;Quiz;5;/test/les-categories-de-mots?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cfrancais%2Cgrammaire
Primaire;CM2;FRANÇAIS;Grammaire;Les compléments du verbe;Quiz;5;/test/les-complements-du-verbe?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cfrancais%2Cgrammaire
Primaire;CM2;FRANÇAIS;Grammaire;Les compléments circonstanciels;Quiz;5;/test/les-complements-circonstanciels-2?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cfrancais%2Cgrammaire
Primaire;CM2;FRANÇAIS;Grammaire;L'accord du verbe avec son sujet;Quiz;5;/test/l-accord-du-verbe-avec-son-sujet-2?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cfrancais%2Cgrammaire
Primaire;CM2;FRANÇAIS;Grammaire;Le groupe nominal et les expansions du nom;Quiz;5;/test/le-groupe-nominal-et-les-expansions-du-nom?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cfrancais%2Cgrammaire
Primaire;CM2;FRANÇAIS;Grammaire;L'attribut du sujet;Quiz;5;/test/l-attribut-du-sujet?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cfrancais%2Cgrammaire
Primaire;CM2;FRANÇAIS;Conjugaison;Identifier les modes verbaux (indicatif, impératif, conditionnel);Cours;;/cours/identifier-les-modes-verbaux-indicatif-imperatif-conditionnel-zk63?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cfrancais%2Cconjugaison
Primaire;CM2;FRANÇAIS;Conjugaison;Conjuguer au présent de l’indicatif;Cours;;/cours/conjuguer-au-present-de-l-indicatif-j4mm?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cfrancais%2Cconjugaison
Primaire;CM2;FRANÇAIS;Conjugaison;Conjuguer les verbes irréguliers fréquents (faire, aller, dire, venir, pouvoir, vouloir, avoir, être);Cours;;/cours/conjuguer-les-verbes-irreguliers-frequents-faire-aller-dire-venir-pouvoir-vouloir-avoir-etre-c2hy?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cfrancais%2Cconjugaison
Primaire;CM2;FRANÇAIS;Conjugaison;Conjuguer au passé composé;Cours;;/cours/conjuguer-au-passe-compose-tkv7?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cfrancais%2Cconjugaison
Primaire;CM2;FRANÇAIS;Conjugaison;Conjuguer à l’imparfait;Cours;;/cours/conjuguer-a-l-imparfait-ejwe?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cfrancais%2Cconjugaison
Primaire;CM2;FRANÇAIS;Conjugaison;Conjuguer au futur simple;Cours;;/cours/conjuguer-au-futur-simple-xakp?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cfrancais%2Cconjugaison
Primaire;CM2;FRANÇAIS;Conjugaison;Conjuguer au plus-que-parfait;Cours;;/cours/conjuguer-au-plus-que-parfait-qlas?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cfrancais%2Cconjugaison
Primaire;CM2;FRANÇAIS;Conjugaison;Conjuguer à l’impératif présent;Cours;;/cours/conjuguer-a-l-imperatif-present-nggm?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cfrancais%2Cconjugaison
Primaire;CM2;FRANÇAIS;Conjugaison;Identifier les marques de temps du passé simple;Cours;;/cours/identifier-les-marques-de-temps-du-passe-simple-l976?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cfrancais%2Cconjugaison
Primaire;CM2;FRANÇAIS;Conjugaison;Repérer le radical et les terminaisons d’un verbe conjugué;Cours;;/cours/reperer-le-radical-et-les-terminaisons-d-un-verbe-conjugue-djk7?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cfrancais%2Cconjugaison
Primaire;CM2;FRANÇAIS;Conjugaison;Les temps composés de l'indicatif;Quiz;5;/test/les-temps-composes-de-l-indicatif?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cfrancais%2Cconjugaison
Primaire;CM2;FRANÇAIS;Conjugaison;Le plus-que-parfait;Quiz;5;/test/le-plus-que-parfait?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cfrancais%2Cconjugaison
Primaire;CM2;FRANÇAIS;Conjugaison;Étudier un texte injonctif;Quiz;5;/test/etudier-un-texte-injonctif?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cfrancais%2Cconjugaison
Primaire;CM2;FRANÇAIS;Conjugaison;Le passé simple des verbes irréguliers;Quiz;5;/test/le-passe-simple-des-verbes-irreguliers?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cfrancais%2Cconjugaison
Primaire;CM2;FRANÇAIS;Conjugaison;Les verbes en « -yer »;Quiz;5;/test/les-verbes-en-yer?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cfrancais%2Cconjugaison
Primaire;CM2;FRANÇAIS;Orthographe grammaticale;Distinguer et accorder l’adjectif épithète du nom et l’attribut du sujet;Cours;;/cours/distinguer-et-accorder-l-adjectif-epithete-du-nom-et-l-attribut-du-sujet-8idh?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cfrancais%2Corthographe-grammaticale
Primaire;CM2;FRANÇAIS;Orthographe grammaticale;Accorder le participe passé au passé composé;Cours;;/cours/accorder-le-participe-passe-au-passe-compose-xc6i?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cfrancais%2Corthographe-grammaticale
Primaire;CM2;FRANÇAIS;Orthographe grammaticale;Accord du verbe avec le sujet (y compris inversé);Cours;;/cours/accord-du-verbe-avec-le-sujet-y-compris-inverse-pdr1?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cfrancais%2Corthographe-grammaticale
Primaire;CM2;FRANÇAIS;Orthographe grammaticale;Accorder le participe passé au plus-que-parfait;Cours;;/cours/accorder-le-participe-passe-au-plus-que-parfait-krko?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cfrancais%2Corthographe-grammaticale
Primaire;CM2;FRANÇAIS;Orthographe grammaticale;Les terminaisons des verbes conjugués;Cours;;/cours/les-terminaisons-des-verbes-conjugues-n9hk?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cfrancais%2Corthographe-grammaticale
Primaire;CM2;FRANÇAIS;Orthographe grammaticale;L'attribut du sujet;Quiz;5;/test/l-attribut-du-sujet?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cfrancais%2Corthographe-grammaticale
Primaire;CM2;FRANÇAIS;Orthographe grammaticale;L'accord du participe passé;Quiz;5;/test/l-accord-du-participe-passe-2?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cfrancais%2Corthographe-grammaticale
Primaire;CM2;FRANÇAIS;Orthographe grammaticale;L'accord du verbe avec son sujet;Quiz;5;/test/l-accord-du-verbe-avec-son-sujet-2?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cfrancais%2Corthographe-grammaticale
Primaire;CM2;FRANÇAIS;Orthographe grammaticale;Les formes verbales en « -é », « -er », « -ai » et « -ez »;Quiz;5;/test/les-formes-verbales-en-e-er-ai-et-ez?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cfrancais%2Corthographe-grammaticale
Primaire;CM2;FRANÇAIS;Homonymes grammaticaux;« a » et « à »;Cours;;/cours/a-et-a-9u6f?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cfrancais%2Chomonymes-grammaticaux
Primaire;CM2;FRANÇAIS;Homonymes grammaticaux;« et » et « est »;Cours;;/cours/et-et-est-tqu1?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cfrancais%2Chomonymes-grammaticaux
Primaire;CM2;FRANÇAIS;Homonymes grammaticaux;« son » et « sont »;Cours;;/cours/son-et-sont-3fbi?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cfrancais%2Chomonymes-grammaticaux
Primaire;CM2;FRANÇAIS;Homonymes grammaticaux;« ce » et « se »;Cours;;/cours/ce-et-se-riat?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cfrancais%2Chomonymes-grammaticaux
Primaire;CM2;FRANÇAIS;Homonymes grammaticaux;« c’est » et « s’est »;Cours;;/cours/c-est-et-s-est-fr7b?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cfrancais%2Chomonymes-grammaticaux
Primaire;CM2;FRANÇAIS;Homonymes grammaticaux;« on » et « ont »;Cours;;/cours/on-et-ont-pqzm?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cfrancais%2Chomonymes-grammaticaux
Primaire;CM2;FRANÇAIS;Homonymes grammaticaux;« ou » et « où »;Cours;;/cours/ou-et-ou-vath?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cfrancais%2Chomonymes-grammaticaux
Primaire;CM2;FRANÇAIS;Lexique;Utiliser un dictionnaire et comprendre les informations qu’il contient;Cours;;/cours/utiliser-un-dictionnaire-et-comprendre-les-informations-qu-il-contient-rf1z?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cfrancais%2Clexique
Primaire;CM2;FRANÇAIS;Lexique;Consolider la connaissance des préfixes et suffixes;Cours;;/cours/consolider-la-connaissance-des-prefixes-et-suffixes-1qyt?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cfrancais%2Clexique
Primaire;CM2;FRANÇAIS;Lexique;Découvrir les racines latines ou grecques;Cours;;/cours/decouvrir-les-racines-latines-ou-grecques-cr1y?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cfrancais%2Clexique
Primaire;CM2;FRANÇAIS;Lexique;Regrouper des mots dans un champ lexical donné;Cours;;/cours/regrouper-des-mots-dans-un-champ-lexical-donne-sk1p?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cfrancais%2Clexique
Primaire;CM2;FRANÇAIS;Lexique;Homonymes et polysémie;Cours;;/cours/homonymes-et-polysemie-bg4j?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cfrancais%2Clexique
Primaire;CM2;FRANÇAIS;Lexique;Antonymes et synonymes;Cours;;/cours/antonymes-et-synonymes-u2uw?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cfrancais%2Clexique
Primaire;CM2;FRANÇAIS;Lexique;Mots de la même famille;Cours;;/cours/mots-de-la-meme-famille-q3go?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cfrancais%2Clexique
Primaire;CM2;FRANÇAIS;Lexique;Les préfixes;Quiz;5;/test/les-prefixes?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cfrancais%2Clexique
Primaire;CM2;FRANÇAIS;Lexique;Les suffixes;Quiz;5;/test/les-suffixes?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cfrancais%2Clexique
Primaire;CM2;FRANÇAIS;Lexique;L'origine des mots;Quiz;5;/test/l-origine-des-mots?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cfrancais%2Clexique
Primaire;CM2;FRANÇAIS;Lexique;Les homonymes et les homophones;Quiz;5;/test/les-homonymes-et-les-homophones?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cfrancais%2Clexique
Primaire;CM2;FRANÇAIS;Lexique;La polysémie;Quiz;5;/test/la-polysemie?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cfrancais%2Clexique
Primaire;CM2;FRANÇAIS;Orthographe lexicale;Orthographier correctement les mots invariables (adverbes, prépositions, conjonctions);Cours;;/cours/orthographier-correctement-les-mots-invariables-adverbes-prepositions-conjonctions-k6q2?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cfrancais%2Corthographe-lexicale
Primaire;CM2;FRANÇAIS;Orthographe lexicale;Les mots qui commencent par « ap », « ac », « af », « ef », et « of »;Cours;;/cours/les-mots-qui-commencent-par-ap-ac-af-ef-et-of-08bh?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cfrancais%2Corthographe-lexicale
Primaire;CM2;FRANÇAIS;Orthographe lexicale;Identifier et orthographier les mots avec les terminaisons -eau, -au et leurs pluriels en -x;Cours;;/cours/identifier-et-orthographier-les-mots-avec-les-terminaisons-eau-au-et-leurs-pluriels-en-x-1a27?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cfrancais%2Corthographe-lexicale
Primaire;CM2;FRANÇAIS;Orthographe lexicale;Maîtriser les règles d’orthographe des mots finissant en -ment;Cours;;/cours/maitriser-les-regles-d-orthographe-des-mots-finissant-en-ment-1ytb?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cfrancais%2Corthographe-lexicale
Primaire;CM2;FRANÇAIS;Orthographe lexicale;Orthographier les mots contenant des doubles consonnes;Cours;;/cours/orthographier-les-mots-contenant-des-doubles-consonnes-4vwj?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cfrancais%2Corthographe-lexicale
Primaire;CM2;FRANÇAIS;Orthographe lexicale;L'orthographe des mots invariables;Quiz;5;/test/l-orthographe-des-mots-invariables?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cfrancais%2Corthographe-lexicale
Primaire;CM2;FRANÇAIS;Orthographe lexicale;Les mots commençant par « ap- », « ac- », « af- », « ef- », « of- »;Quiz;5;/test/les-mots-commencant-par-ap-ac-af-ef-of?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cfrancais%2Corthographe-lexicale
Primaire;CM2;FRANÇAIS;Écriture;Savoir décrire;Cours;;/cours/savoir-decrire-0jbo?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cfrancais%2Cecriture
Primaire;CM2;FRANÇAIS;Écriture;Rédiger une lettre ou un email;Cours;;/cours/rediger-une-lettre-ou-un-email-1pj1?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cfrancais%2Cecriture
Primaire;CM2;FRANÇAIS;Écriture;Écrire un dialogue;Cours;;/cours/ecrire-un-dialogue-lzvl?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cfrancais%2Cecriture
Primaire;CM2;FRANÇAIS;Écriture;Écrire un récit;Cours;;/cours/ecrire-un-recit-u17e?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cfrancais%2Cecriture
Primaire;CM2;FRANÇAIS;Écriture;Écrire un poème;Cours;;/cours/ecrire-un-poeme-x6gg?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cfrancais%2Cecriture
Primaire;CM2;FRANÇAIS;Écriture;Résumer un paragraphe ou un texte;Cours;;/cours/resumer-un-paragraphe-ou-un-texte-b83f?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cfrancais%2Cecriture
Primaire;CM2;FRANÇAIS;Écriture;La description;Quiz;5;/test/la-description?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cfrancais%2Cecriture
Primaire;CM2;FRANÇAIS;Écriture;Écrire un récit;Quiz;5;/test/ecrire-un-recit?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cfrancais%2Cecriture
Primaire;CM2;FRANÇAIS;Écriture;Écrire un poème;Quiz;5;/test/ecrire-un-poeme?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cfrancais%2Cecriture
Primaire;CM2;FRANÇAIS;Écriture;Résumer un paragraphe;Quiz;5;/test/resumer-un-paragraphe?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cfrancais%2Cecriture
Primaire;CM2;FRANÇAIS;Culture littéraire et artistique;Les différents genres littéraires;Cours;;/cours/les-differents-genres-litteraires-jecp?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cfrancais%2Cculture-litteraire-et-artistique
Primaire;CM2;FRANÇAIS;Culture littéraire et artistique;Les œuvres numériques et sur Internet;Cours;;/cours/les-oeuvres-numeriques-et-sur-internet-ggdk?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cfrancais%2Cculture-litteraire-et-artistique
Primaire;CM2;FRANÇAIS;Culture littéraire et artistique;Les adaptations (livres, films, dessins animés);Cours;;/cours/les-adaptations-livres-films-dessins-animes-dbhb?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cfrancais%2Cculture-litteraire-et-artistique
Primaire;CM2;FRANÇAIS;Culture littéraire et artistique;La mémorisation et la récitation d’extraits courts;Cours;;/cours/la-memorisation-et-la-recitation-d-extraits-courts-34r9?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cfrancais%2Cculture-litteraire-et-artistique
Primaire;CM2;MATHÉMATIQUES;Nombres et calculs;Lire et écrire les nombres entiers jusqu'au milliard;Cours;;/cours/lire-et-ecrire-les-nombres-entiers-jusqu-au-milliard?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cmathematiques%2Cnombres-et-calculs
Primaire;CM2;MATHÉMATIQUES;Nombres et calculs;Comparer, encadrer et ranger les nombres entiers;Cours;;/cours/comparer-ranger-encadrer-les-grands-nombres?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cmathematiques%2Cnombres-et-calculs
Primaire;CM2;MATHÉMATIQUES;Nombres et calculs;Les fractions;Cours;;/cours/les-fractions-1?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cmathematiques%2Cnombres-et-calculs
Primaire;CM2;MATHÉMATIQUES;Nombres et calculs;Les fractions décimales;Cours;;/cours/les-fractions-decimales-2?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cmathematiques%2Cnombres-et-calculs
Primaire;CM2;MATHÉMATIQUES;Nombres et calculs;Associer certaines fractions simples à des nombres entiers;Cours;;/cours/associer-certaines-fractions-simples-a-des-nombres-entiers-6ke3?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cmathematiques%2Cnombres-et-calculs
Primaire;CM2;MATHÉMATIQUES;Nombres et calculs;Comparer et ranger des fractions;Cours;;/cours/comparer-et-ranger-des-fractions-1b0b?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cmathematiques%2Cnombres-et-calculs
Primaire;CM2;MATHÉMATIQUES;Nombres et calculs;Les nombres décimaux;Cours;;/cours/les-nombres-decimaux-318x?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cmathematiques%2Cnombres-et-calculs
Primaire;CM2;MATHÉMATIQUES;Nombres et calculs;Comparer et ranger des nombres décimaux;Cours;;/cours/comparer-et-ranger-des-nombres-decimaux-eig5?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cmathematiques%2Cnombres-et-calculs
Primaire;CM2;MATHÉMATIQUES;Nombres et calculs;Calculs mentaux simples;Cours;;/cours/calculs-mentaux-simples-o4ee?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cmathematiques%2Cnombres-et-calculs
Primaire;CM2;MATHÉMATIQUES;Nombres et calculs;Calculer en trouvant les compléments;Cours;;/cours/calculer-en-trouvant-les-complements-yq0p?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cmathematiques%2Cnombres-et-calculs
Primaire;CM2;MATHÉMATIQUES;Nombres et calculs;Propriétés simples des opérations;Cours;;/cours/proprietes-simples-des-operations-5bd3?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cmathematiques%2Cnombres-et-calculs
Primaire;CM2;MATHÉMATIQUES;Nombres et calculs;Critères de divisibilité;Cours;;/cours/criteres-de-divisibilite-w19o?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cmathematiques%2Cnombres-et-calculs
Primaire;CM2;MATHÉMATIQUES;Nombres et calculs;Addition des nombres entiers;Cours;;/cours/addition-des-nombres-entiers-18ms?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cmathematiques%2Cnombres-et-calculs
Primaire;CM2;MATHÉMATIQUES;Nombres et calculs;Soustraction des nombres entiers;Cours;;/cours/soustraction-des-nombres-entiers-7twv?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cmathematiques%2Cnombres-et-calculs
Primaire;CM2;MATHÉMATIQUES;Nombres et calculs;Addition des nombres décimaux;Cours;;/cours/addition-des-nombres-decimaux-wpoq?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cmathematiques%2Cnombres-et-calculs
Primaire;CM2;MATHÉMATIQUES;Nombres et calculs;Soustraction des nombres décimaux;Cours;;/cours/soustraction-des-nombres-decimaux-tfmr?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cmathematiques%2Cnombres-et-calculs
Primaire;CM2;MATHÉMATIQUES;Nombres et calculs;Poser la multiplication avec des entiers;Cours;;/cours/poser-la-multiplication-avec-des-entiers-fhmz?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cmathematiques%2Cnombres-et-calculs
Primaire;CM2;MATHÉMATIQUES;Nombres et calculs;Poser la multiplication avec un nombre décimal;Cours;;/cours/poser-la-multiplication-avec-un-nombre-decimal-jo2e?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cmathematiques%2Cnombres-et-calculs
Primaire;CM2;MATHÉMATIQUES;Nombres et calculs;Division de deux nombres entiers;Cours;;/cours/division-de-deux-nombres-entiers-1nm5?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cmathematiques%2Cnombres-et-calculs
Primaire;CM2;MATHÉMATIQUES;Nombres et calculs;Division des nombres décimaux;Cours;;/cours/division-des-nombres-decimaux-4lnj?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cmathematiques%2Cnombres-et-calculs
